MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1
300.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F,117,117,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)F
403.0,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F,118,118,Cn1cc[n+](Cc2ccccc2)c1.F[P-](F)(F)(F)(F)F
318.0,COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F,119,119,COc1ccc(-[n+]2ccn(C)c2)cc1.O=S(=O)([O-])C(F)(F)F
348.0,CCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,120,120,CCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
233.0,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,121,121,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
310.0,Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,122,122,Cn1cc[n+](CCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
376.0,Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,123,123,Cn1cc[n+](CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F
311.0,CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,124,124,CCCCCCCOC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
321.0,CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F,125,125,CCCCOC[n+]1ccn(COCCC)c1.F[P-](F)(F)(F)(F)F
287.0,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,126,126,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
343.0,CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1,127,127,CCCCCCCC[n+]1ccn(CC)c1.Cc1ccc(S(=O)(=O)[O-])cc1
321.0,Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,128,128,Cn1cc[n+](CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
325.0,Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,129,129,Cn1cc[n+](CCCc2ccccc2)c1.F[P-](F)(F)(F)(F)F
330.0,CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F,130,130,CCCCOCn1cc[n+](COCCCC)c1.F[P-](F)(F)(F)(F)F
243.0,CCCCCCCC[n+]1ccn(CCC)c1.F[P-](F)(F)(F)(F)F,131,131,CCCCCCCC[n+]1ccn(CCC)c1.F[P-](F)(F)(F)(F)F
311.0,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],132,132,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-]
358.0,CCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,133,133,CCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
271.0,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,134,134,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
352.0,CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,135,135,CCCCCCCCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1
